Affiliations,Count
"Carnegie Mellon University, Pittsburgh, PA, United States",4
"Faculty of Education, The University of Hong Kong, Hong Kong, Hong Kong",4
"Department of Computers Techniques Engineering, The Islamic University, Najaf, Najaf, Najaf, Iraq",4
"Academic Center for Computing and Media Studies, Kyoto, Kyoto, Japan",4
"Faculty of Computer Science, Deggendorf Institute of Technology, Deggendorf, Bayern, Germany",4
"School of Physical Education, Shandong University, Jinan, Shandong, China",3
"Humboldt-Universität zu Berlin, Berlin, Germany",3
"Universidade do Porto, Porto, Porto, Portugal",3
"College of Engineering and Computer Science at Wright State University, Dayton, OH, United States",3
"Department of Biological Sciences, Wright State University, Dayton, OH, United States",3
"Department of Leadership Studies in Education and Organizations, Wright State University, Dayton, OH, United States",3
"Chitkara University, Punjab, Rajpura, PB, India",2
"National Institute of Education, Singapore City, Singapore",2
"Griffith University, Brisbane, QLD, Australia",2
"Department of CS & IT, Kalinga University, Naya Raipur, CG, India",2
