,Publications,Affiliation
Wang,22,"Wang, L. I., Department of Physical Education and Sport, Shanghai Ocean University, Shanghai, China"
Zhang,19,"Zhang, Jia, School of Education, Chongqing University, Chongqing, China"
Chen,11,"Chen, Nianshing, Program of Learning Sciences, National Taiwan Normal University, Taipei, Taiwan"
Liu,11,"Liu, Xiao, Shandong Huayu University of Technology, Dezhou, Shandong, China, Weinan Normal University, Weinan, Shaanxi, China"
Yang,10,"Yang, Zijia, Zhejiang Agriculture and Forestry University, Hangzhou, Zhejiiang, China"
Lee,8,"Lee, Gunyeol Yeal, Stanford Engineering, Stanford, CA, United States"
Huang,7,"Huang, Yuhua, College of Education, Jiangxi Institute of Applied Science and Technology, Nanchang, Jiangxi, China"
Kim,7,"Kim, Sung-min, College of Performing Arts and Sport, Hanyang University, Seoul, South Korea"
Sharma,5,"Sharma, Madhav, Poornima Institute of Engineering & Technology, Jaipur, RJ, India"
Wong,5,"Wong, Y. D., School of Civil and Environmental Engineering, Singapore City, Singapore"
Choi,5,"Choi, Suyeon, Stanford Engineering, Stanford, CA, United States, Reality Labs, Menlo Park, CA, United States"
Ciolacu,5,"Ciolacu, Monica Ionita, Faculty of Computer Science, Deggendorf Institute of Technology, Deggendorf, Bayern, Germany, Department of Education, Universität Passau, Passau, Bayern, Germany"
Monica Ionita (57193091486),5,
Tan,5,"Tan, Tzechin, Department of Immunology and Rheumatology, Singapore General Hospital, Singapore City, Singapore"
Park,4,"Park, Jung-yeon, George Mason University, Fairfax, VA, United States"
Watanabe,4,"Watanabe, Ko, German Research Center for Artificial Intelligence , Kaiserslautern, Rheinland-Pfalz, Germany"
Hiroaki (7202919226),4,
Xiao (55496358400),4,
Sun,4,"Sun, Bingjie, Department of Physical Education, Guangdong Pharmaceutical University, Guangzhou, Guangdong, China"
Huiyong (57203988596),4,
